LandContour,GarageYrBlt,FullBath,1stFlrSF,BsmtFinSF1,TotRmsAbvGrd,ExterQual,OpenPorchSF,Heating,Condition2,OverallQual,GarageCars,KitchenQual,KitchenAbvGr,GrLivArea,2ndFlrSF,CentralAir,BsmtQual,TotalBsmtSF,Fireplaces,SalePrice
Lvl,2003.0,2,856,706,8,Gd,61,GasA,Norm,7,2,Gd,1,1710,854,Y,Gd,856,0,208500
Lvl,1976.0,2,1262,978,6,TA,0,GasA,Norm,6,2,TA,1,1262,0,Y,Gd,1262,1,181500
Lvl,2001.0,2,920,486,6,Gd,42,GasA,Norm,7,2,Gd,1,1786,866,Y,Gd,920,1,223500
Lvl,1998.0,1,961,216,7,TA,35,GasA,Norm,7,3,Gd,1,1717,756,Y,TA,756,1,140000
Lvl,2000.0,2,1145,655,9,Gd,84,GasA,Norm,8,3,Gd,1,2198,1053,Y,Gd,1145,1,250000
Lvl,1993.0,1,796,732,5,TA,30,GasA,Norm,5,2,TA,1,1362,566,Y,Gd,796,0,143000
Lvl,2004.0,2,1694,1369,7,Gd,57,GasA,Norm,8,2,Gd,1,1694,0,Y,Ex,1686,1,307000
Lvl,1973.0,2,1107,859,7,TA,204,GasA,Norm,7,2,TA,1,2090,983,Y,Gd,1107,2,200000
Lvl,1931.0,2,1022,0,8,TA,0,GasA,Norm,7,2,TA,2,1774,752,Y,TA,952,2,129900
Lvl,1939.0,1,1077,851,5,TA,4,GasA,Artery,5,1,TA,2,1077,0,Y,TA,991,2,118000
Lvl,1965.0,1,1040,906,5,TA,0,GasA,Norm,5,1,TA,1,1040,0,Y,TA,1040,0,129500
Lvl,2005.0,3,1182,998,11,Ex,21,GasA,Norm,9,3,Ex,1,2324,1142,Y,Ex,1175,2,345000
Lvl,1962.0,1,912,737,4,TA,0,GasA,Norm,5,1,TA,1,912,0,Y,TA,912,0,144000
Lvl,2006.0,2,1494,0,7,Gd,33,GasA,Norm,7,3,Gd,1,1494,0,Y,Gd,1494,1,279500
Lvl,1960.0,1,1253,733,5,TA,213,GasA,Norm,6,1,TA,1,1253,0,Y,TA,1253,1,157000
Lvl,1991.0,1,854,0,5,TA,112,GasA,Norm,7,2,TA,1,854,0,Y,TA,832,0,132000
Lvl,1970.0,1,1004,578,5,TA,0,GasA,Norm,6,2,TA,1,1004,0,Y,TA,1004,1,149000
